ua_dist,ua_nn_name,uc_dist,uc_nn_name
86371.07684551533,"Lewiston, ID--WA Urbanized Area",86371.07684551533,"Lewiston, ID--WA Urbanized Area"
89499.62450059103,"Lewiston, ID--WA Urbanized Area",89499.62450059103,"Lewiston, ID--WA Urbanized Area"
90904.96912430474,"Lewiston, ID--WA Urbanized Area",90904.96912430474,"Lewiston, ID--WA Urbanized Area"
91135.19417950533,"Lewiston, ID--WA Urbanized Area",91135.19417950533,"Lewiston, ID--WA Urbanized Area"
69940.4882953499,"Walla Walla, WA--OR Urbanized Area",6927.387613898294,"La Grande, OR Urban Cluster"
77983.04186420586,"Walla Walla, WA--OR Urbanized Area",8537.55165033186,"La Grande, OR Urban Cluster"
54217.61472614413,"Walla Walla, WA--OR Urbanized Area",14728.829510813252,"La Grande, OR Urban Cluster"
77983.04186420586,"Walla Walla, WA--OR Urbanized Area",8537.55165033186,"La Grande, OR Urban Cluster"
69940.4882953499,"Walla Walla, WA--OR Urbanized Area",6927.387613898294,"La Grande, OR Urban Cluster"
54217.61472614413,"Walla Walla, WA--OR Urbanized Area",14728.829510813252,"La Grande, OR Urban Cluster"
66369.0499391724,"Walla Walla, WA--OR Urbanized Area",7698.500902251871,"La Grande, OR Urban Cluster"
66369.0499391724,"Walla Walla, WA--OR Urbanized Area",7698.500902251871,"La Grande, OR Urban Cluster"
92733.3344910803,"Walla Walla, WA--OR Urbanized Area",24889.659635531214,"La Grande, OR Urban Cluster"
69940.4882953499,"Walla Walla, WA--OR Urbanized Area",6927.387613898294,"La Grande, OR Urban Cluster"
92733.3344910803,"Walla Walla, WA--OR Urbanized Area",24889.659635531214,"La Grande, OR Urban Cluster"
92733.3344910803,"Walla Walla, WA--OR Urbanized Area",24889.659635531214,"La Grande, OR Urban Cluster"
47233.328602306734,"Portland, OR--WA Urbanized Area",39980.524933099645,"Hood River, OR--WA Urban Cluster"
47233.328602306734,"Portland, OR--WA Urbanized Area",39980.524933099645,"Hood River, OR--WA Urban Cluster"
47233.328602306734,"Portland, OR--WA Urbanized Area",39980.524933099645,"Hood River, OR--WA Urban Cluster"
47233.328602306734,"Portland, OR--WA Urbanized Area",39980.524933099645,"Hood River, OR--WA Urban Cluster"
47233.328602306734,"Portland, OR--WA Urbanized Area",39980.524933099645,"Hood River, OR--WA Urban Cluster"
119861.83248916821,"Walla Walla, WA--OR Urbanized Area",47174.193152417145,"Baker City, OR Urban Cluster"
119861.83248916821,"Walla Walla, WA--OR Urbanized Area",47174.193152417145,"Baker City, OR Urban Cluster"
118752.16860848152,"Walla Walla, WA--OR Urbanized Area",47271.746457022586,"Baker City, OR Urban Cluster"
154331.71032550448,"Walla Walla, WA--OR Urbanized Area",103076.95318596139,"Baker City, OR Urban Cluster"
89742.66948569338,"Walla Walla, WA--OR Urbanized Area",49299.55438463139,"La Grande, OR Urban Cluster"
154254.89718177513,"Walla Walla, WA--OR Urbanized Area",105253.98276864052,"Baker City, OR Urban Cluster"
98252.3738623263,"Walla Walla, WA--OR Urbanized Area",54041.83103484885,"Pendleton, OR Urban Cluster"
155664.3049420865,"Walla Walla, WA--OR Urbanized Area",104045.99879722613,"Baker City, OR Urban Cluster"
126370.58388723248,"Walla Walla, WA--OR Urbanized Area",38375.69988650548,"Baker City, OR Urban Cluster"
125259.46383611386,"Walla Walla, WA--OR Urbanized Area",38365.57904977564,"Baker City, OR Urban Cluster"
91137.73654729093,"Walla Walla, WA--OR Urbanized Area",50738.73809582752,"Pendleton, OR Urban Cluster"
120971.52418738589,"Walla Walla, WA--OR Urbanized Area",47102.66300362645,"Baker City, OR Urban Cluster"
59249.52872154329,"Spokane, WA Urbanized Area",43300.96074087282,"Colfax, WA Urban Cluster"
59249.52872154329,"Spokane, WA Urbanized Area",43300.96074087282,"Colfax, WA Urban Cluster"
59249.52872154329,"Spokane, WA Urbanized Area",43300.96074087282,"Colfax, WA Urban Cluster"
60384.682025943825,"Spokane, WA Urbanized Area",51181.60879079552,"Pullman, WA Urban Cluster"
59249.52872154329,"Spokane, WA Urbanized Area",43300.96074087282,"Colfax, WA Urban Cluster"
12558.449567174714,"Lewiston, ID--WA Urbanized Area",12558.449567174714,"Lewiston, ID--WA Urbanized Area"
16218.703075049109,"Lewiston, ID--WA Urbanized Area",16218.703075049109,"Lewiston, ID--WA Urbanized Area"
16542.383452451373,"Lewiston, ID--WA Urbanized Area",16542.383452451373,"Lewiston, ID--WA Urbanized Area"
7617.830834808058,"Lewiston, ID--WA Urbanized Area",7617.830834808058,"Lewiston, ID--WA Urbanized Area"
10393.55887134018,"Lewiston, ID--WA Urbanized Area",10393.55887134018,"Lewiston, ID--WA Urbanized Area"
16656.96502649431,"Lewiston, ID--WA Urbanized Area",16656.96502649431,"Lewiston, ID--WA Urbanized Area"
9894.027368270159,"Lewiston, ID--WA Urbanized Area",9894.027368270159,"Lewiston, ID--WA Urbanized Area"
9406.447699729411,"Lewiston, ID--WA Urbanized Area",9406.447699729411,"Lewiston, ID--WA Urbanized Area"
9406.447699729411,"Lewiston, ID--WA Urbanized Area",9406.447699729411,"Lewiston, ID--WA Urbanized Area"
15743.97804838436,"Lewiston, ID--WA Urbanized Area",15743.97804838436,"Lewiston, ID--WA Urbanized Area"
15743.97804838436,"Lewiston, ID--WA Urbanized Area",15743.97804838436,"Lewiston, ID--WA Urbanized Area"
