invent_id,blm,pv,stf,usfs,lg,br,pvi,pvn,bia,stp,water,und,st,fws,coe,stl,pvu,stw,bpa,dod,gsa,nps,tot,blm_prop,pv_prop,stf_prop,usfs_prop,lg_prop,br_prop,pvi_prop,pvn_prop,bia_prop,stp_prop,water_prop,und_prop,st_prop,fws_prop,coe_prop,stl_prop,pvu_prop,stw_prop,bpa_prop,dod_prop,gsa_prop,nps_prop,tot_prop
2264,769929.547,15261.626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,785191.1730000001,0.9805631717156351,0.01943682828436483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2265,591254.521,0,0,0,0,0,46874.097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,638128.6179999999,0.9265444368458022,0,0,0,0,0,0.07345556315419788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2266,587000.3389999999,0,0,0,0,0,45832.208999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,632832.548,0.9275760876319528,0,0,0,0,0,0.07242391236804716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2267,451728.905,0,0,0,0,0,309074.213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,760803.118,0.5937526993678803,0,0,0,0,0,0.4062473006321196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2268,547622.285,0,0,0,0,0,88546.35399999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,636168.639,0.8608130791558872,0,0,0,0,0,0.13918692084411283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2269,74093.33099999999,0,0,0,0,0,194000.297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268093.62799999997,0.2763711004724066,0,0,0,0,0,0.7236288995275935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2270,96313.505,0,0,0,0,0,92333.202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188646.707,0.5105496222629532,0,0,0,0,0,0.48945037773704686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2271,38473.788,0,0,0,0,0,77990.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116464.328,0.3303482590823862,0,0,0,0,0,0.6696517409176138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2272,148198.628,0,0,0,0,0,142557.763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290756.391,0.5097003284787642,0,0,0,0,0,0.4902996715212358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2273,182705.063,0,0,0,0,0,602486.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,785191.173,0.23268863594318578,0,0,0,0,0,0.7673113640568142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
